urls,tags
/my-account/,Login
/forums/,Forums
http://espanol.academicintegrity.org/,En Español
https://academicintegrity.org/cart-2/,"
				,
			"
https://academicintegrity.org/,"
						,
					"
https://academicintegrity.org/about/,About
https://academicintegrity.org/about/,About the Center
https://academicintegrity.org/about-d1/applying-to-join-the-board/,Applying to Join the Board
/about/our-member-institutions-2/,Our Member Institutions
https://academicintegrity.org/nomination-process/,Awards
/events,Events
https://academicintegrity.org/contact-us/,Contact us
,Conferences
https://academicintegrity.org/2020-annual-conference-icai/,2020 Annual Conference
https://academicintegrity.org/congreso-de-integridad-academica-mexico/,Congreso de Integridad Academica (Mexico)
https://academicintegrity.org/regional-consortium/southeast-region/,Southeast Regional Conference
https://academicintegrity.org/mid-atlantic-regional-conference-2/,Mid Atlantic Regional Conference
,Past Conferences
https://academicintegrity.org/2019-conference/,2019 Conference
https://academicintegrity.org/2018-international-conference/,2018 International Conference
https://academicintegrity.org/2018-international-conference/conference-materials/,Conference Materials
https://academicintegrity.org/2018-international-conference/conference-materials-submission/,Conference Materials Submission
/regional-consortium/,Regional Consortia
/regional-consortium/,Overview
https://academicintegrity.org/canadian-regional-consortium/,Canadian Regional Consortium
/regional-consortium/mid-atlantic/,Mid-Atlantic
/mid-atlantic-regional-conference-2/,Mid-Atlantic Regional Conference
/product/regional-toolkit/,Regional Consortium Toolkit
,Resources
https://academicintegrity.org/fundamental-values/,Fundamental Values
https://academicintegrity.org/academic-integrity-rating-system-ai/,Academic Integrity Rating System (AIRS)
https://academicintegrity.org/academic-integrity-reader/,Academic Integrity Reader
/survey-assessment-guide/,Survey & Assessment Guide
https://academicintegrity.org/trusted-seal/,Trusted Seal
https://academicintegrity.org/educational-resources/,Educational Resources
https://academicintegrity.org/multimedia-resources/,Multimedia Resources
https://academicintegrity.org/statistics/,Statistics
https://academicintegrity.org/webinars/,Webinars
https://academicintegrity.org/quotes/,Quotes
/integritymattersblog/,Integrity Matters Blog
https://academicintegrity.org/day-against-contract-cheating/,Initiatives
https://academicintegrity.org/day-against-contract-cheating/,Day Against Contract Cheating
/my-account,My Account
https://academicintegrity.org/product/icai-membership/,Join
/my-account,Manage Account
https://live-academicintegrity.pantheonsite.io/product/international-day-of-action-against-contract-cheating-checklist/,Download the International Day of Action Checklist
https://goo.gl/forms/8hSsPGmA8NtG2kk52,Register Today!
https://live-academicintegrity.pantheonsite.io/4th-international-day-of-action-against-contract-cheating-poster-contest/,Student Poster Contest Rules
https://www.turnitin.com/events/virtual/reducing-contract-cheating-3,Monday 14th October at 17:00 British Time
https://www.turnitin.com/events/virtual/reducing-contract-cheating-3,Register today to reserve your spot!
https://live-academicintegrity.pantheonsite.io/whiteboard-declarations/,Posting Whiteboard Declarations on social media channels
https://live-academicintegrity.pantheonsite.io/wp-content/uploads/2018/09/Toolkit.pdf,Downloading and sharing the Institutional Toolkit against Contract Cheating on your campus
https://live-academicintegrity.pantheonsite.io/4th-international-day-of-action-against-contract-cheating-poster-contest/,Entering the Poster Contest
https://libguides.gsmlondon.ac.uk/defeatthecheat,Play the Defeat the Cheat! Board Game created by GSM London
https://live-academicintegrity.pantheonsite.io/wp-content/uploads/2019/10/4th-IDoA-Editable-Logo-Add-Your-Institution-2.pdf,Like the poster below? Click here to download a copy and add your own Institutional logo! 
https://www.abu.edu.ng,
https://www.aun.edu.ng/,
http://www.christchurchprep.co.za,
http://www.kwasu.edu.ng,
about:blank,
http://www.unisa.ac.za,
http://www.act.edu.om,
https://www.auaf.edu.af/,
http://www.aub.edu.lb,
https://www.comu.edu.tr/,
http://www.majancollege.edu.om,
http://www.muscatcollege.edu.om/,
http://www.ptuk.edu.ps,
http://www.uowdubai.ac.ae,
http://bioethics.org.bd/,
https://www.rtu.edu.ph/,
https://www.csu.edu.au/,
https://www.cqu.edu.au/,
https://www.ichm.edu.au/,
https://www.murdochinstitute.wa.edu.au/,
https://www.citewrite.qut.edu.au/academichonesty/,
https://www.taylorssydney.edu.au/about-taylors-college-sydney,
http://www.swin.edu.au,
https://www.trinity.unimelb.edu.au,
https://student.unsw.edu.au/all-about-contract-cheating,
https://www.notredame.edu.au/,
https://itali.uq.edu.au/resources/assessment/academic-integrity,
https://sydney.edu.au/students/academic-integrity.html,
http://www.unitech.ac.pg/,
http://www.acg.edu,
http://www.nmu.org.ua/ua/,
https://teuintegrityproject.wordpress.com/,
http://www.academicintegrity.eu/wp/contacts/,
http://www.htw-berlin.de,
http://www.uni-gjilan.net,
http://www.mendelu.cz,
https://www.rtu.lv/en,
http://www.uniag.sk,
about:blank,
https://www.truni.sk/,
https://euba.sk/en/university,
http://www.unhz.eu,
http://www.uvlf.sk,
https://www.upjs.sk/filozoficka-fakulta/,
http://www.vsm.sk/us/,Vysoká Škola Manažmentu (Slovakia)
http://www.coventry.ac.uk,
https://www.fanshawec.ca/,
http://www.gsmlondon.ac.uk,
https://www.brookes.ac.uk/students/sirt/student-conduct/academic-misconduct/,
https://hedd.ac.uk/,
http://www.qahighereducation.com,
http://www.roehampton.ac.uk,
http://www.shu.ac.uk,
http://www.sfep.org.uk,
http://www.derby.ac.uk,
https://www.liverpool.ac.uk/,
https://www.northampton.ac.uk/ilt/academic-development/academic-integrity/contract-cheating/,
https://www.southwales.ac.uk/,
http://www.york.ac.uk/integrity,
https://library.centennialcollege.ca/help-services/research-help/academic-integrity/,
http://lib.conestogac.on.ca/academic-integrity,
https://www.gonzaga.edu/academics/academic-calendar-resources/center-for-student-academic-success/academic-integrity,
https://www.humber.ca/,
https://www.icmanitoba.ca/,
https://lethbridgecollege.ca/,
https://www.mcmaster.ca/academicintegrity/,
http://www.mohawkcollege.ca,
mailto:studentconduct@mtroyal.ca,
https://www.ryerson.ca/academicintegrity/,
https://www.stedwards.edu,
http://open2.senecac.on.ca/sites/academic-integrity/,
